property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,oxford tower,gurukul,0.55,5456.0,2.0,2.0,2,3.0,Old Property,1051.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,radha kunj society,gurukul,4.11,8616.0,5.0,6.0,1,1.0,Moderately Old,4770.0,0.0,1.0,1.0,0.0,0.0,0.0,107.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,parshwanath towers,gurukul,0.99,3667.0,4.0,3.0,0,9.0,Old Property,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,preet apartment,gurukul,0.89,6335.0,3.0,3.0,3+,5.0,Old Property,1245.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,indraprasth towers,gurukul,0.9,6250.0,3.0,3.0,3,10.0,Old Property,1800.0,0.0,0.0,0.0,0.0,1.0,2.0,123.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,s tower,gurukul,0.65,6173.0,2.0,2.0,1,8.0,Old Property,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,omkar bunglows,thaltej,4.75,15079.0,4.0,4.0,1,2.0,Old Property,3150.0,0.0,0.0,1.0,1.0,0.0,1.0,161.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,k 18 bungalows,thaltej,8.0,13675.0,5.0,5.0,3,2.0,Relatively New,5850.0,1.0,1.0,0.0,1.0,1.0,0.0,116.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,sharanya skyvue,thaltej,2.49,8501.0,4.0,4.0,1,7.0,Relatively New,2147.0,1.0,0.0,0.0,0.0,1.0,0.0,61.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,chandra darshan apartment,thaltej,0.65,6878.0,2.0,2.0,0,0.0,Moderately Old,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,2.5,13103.0,4.0,3.0,1,2.0,Old Property,1908.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,3.4,15233.0,3.0,3.0,2,1.0,Old Property,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,love kush apartment,thaltej,0.63,7292.0,2.0,2.0,1,2.0,Old Property,864.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,on request,thaltej,3.8,12795.0,3.0,3.0,1,2.0,Moderately Old,2970.0,1.0,0.0,1.0,1.0,0.0,0.0,99.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,avis aster,thaltej,2.25,7692.0,3.0,4.0,2,7.0,Relatively New,2217.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,sharanya skyvue,thaltej,1.98,8098.0,3.0,3.0,1,10.0,New Property,2445.0,1.0,1.0,0.0,1.0,1.0,0.0,61.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,dharmnandan dwarkesh greens,thaltej,3.0,8333.0,4.0,4.0,3+,3.0,Relatively New,3600.0,1.0,0.0,1.0,1.0,0.0,1.0,184.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,zion windfield,thaltej,2.7,12273.0,4.0,4.0,1,7.0,Relatively New,3600.0,1.0,1.0,0.0,1.0,1.0,0.0,61.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,avadh enclave,thaltej,0.63,5040.0,2.0,2.0,2,3.0,Moderately Old,1471.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,3.5,15191.0,4.0,4.0,0,3.0,Old Property,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,6.0,11299.0,5.0,5.0,1,1.0,Moderately Old,5310.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,3.25,10932.0,4.0,4.0,3,2.0,Old Property,2973.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shiv ganesh society,thaltej,3.5,17284.0,3.0,3.0,2,2.0,Moderately Old,2025.0,1.0,1.0,1.0,1.0,0.0,2.0,73.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,3.6,11429.0,3.0,4.0,0,2.0,Old Property,3150.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,1.26,13636.0,3.0,2.0,2,2.0,Old Property,924.0,1.0,1.0,0.0,1.0,1.0,2.0,165.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,zion windfield,thaltej,2.58,7013.0,4.0,4.0,1,7.0,Relatively New,3051.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,vrundavan bungalow,thaltej,3.25,16049.0,3.0,3.0,2,2.0,Moderately Old,2382.0,1.0,0.0,1.0,1.0,0.0,1.0,156.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,vishwas apartment,thaltej,1.0,4630.0,3.0,3.0,1,2.0,Old Property,2541.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,sankalp grace 3,thaltej,2.02,12002.0,4.0,4.0,1,4.0,Relatively New,2155.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,manichandra bungalow,thaltej,8.0,18713.0,4.0,4.0,1,2.0,Old Property,4275.0,1.0,0.0,1.0,1.0,0.0,1.0,72.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,9.8,22924.0,4.0,4.0,3,3.0,Moderately Old,4275.0,0.0,0.0,1.0,1.0,0.0,1.0,107.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,satyam crystal,thaltej,3.5,16908.0,3.0,3.0,1,2.0,Moderately Old,2070.0,0.0,0.0,1.0,0.0,0.0,2.0,89.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,on request,thaltej,5.25,13823.0,4.0,4.0,1,2.0,Relatively New,3798.0,1.0,0.0,1.0,1.0,0.0,2.0,98.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shaligram 3,thaltej,9.5,19333.0,4.0,4.0,1,2.0,Old Property,4914.0,1.0,0.0,1.0,1.0,0.0,1.0,110.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,elegance bungalows,thaltej,3.5,10802.0,4.0,3.0,3,2.0,Moderately Old,3812.0,1.0,0.0,1.0,1.0,0.0,1.0,165.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,dhara kasturi phase 3,thaltej,3.25,9478.0,4.0,4.0,1,2.0,Moderately Old,2846.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,2.5,13103.0,4.0,3.0,1,2.0,Old Property,1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,saumya asopaalav,thaltej,6.25,13029.0,3.0,3.0,1,2.0,Old Property,4797.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,9.5,23148.0,4.0,5.0,1,32.0,Moderately Old,4104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,sangini bungalow,thaltej,4.1,13805.0,3.0,3.0,2,2.0,Moderately Old,2970.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,ganesh housing maple county,thaltej,1.45,6444.0,3.0,3.0,1,1.0,Moderately Old,1867.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shukan bunglow,thaltej,5.0,14934.0,4.0,5.0,2,3.0,Relatively New,3000.0,0.0,0.0,0.0,1.0,0.0,1.0,63.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,sarveshwar tower,thaltej,1.15,6777.0,3.0,3.0,3,4.0,Old Property,1697.0,0.0,0.0,1.0,0.0,0.0,2.0,51.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,maple tree garden homes,thaltej,2.9,12114.0,3.0,3.0,1,6.0,Relatively New,2394.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,0.6,4167.0,3.0,2.0,0,4.0,Old Property,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,neelkanth greens villa,thaltej,20.0,12005.0,4.0,4.0,1,3.0,Moderately Old,16660.0,0.0,0.0,1.0,1.0,0.0,1.0,105.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,nandishwar flat,thaltej,0.55,8148.0,2.0,2.0,2,2.0,Old Property,675.0,0.0,0.0,0.0,0.0,0.0,2.0,118.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,elegance bungalows,thaltej,3.5,17207.0,4.0,4.0,2,2.0,Moderately Old,2034.0,0.0,1.0,1.0,1.0,0.0,1.0,130.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,15.0,20032.0,5.0,5.0,3+,3.0,Moderately Old,7488.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,independent,thaltej,2.25,14286.0,4.0,3.0,1,2.0,Old Property,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,"sambhavnath bunglaw , thaltej",thaltej,1.99,11056.0,4.0,4.0,3,2.0,Old Property,1900.0,0.0,0.0,0.0,0.0,1.0,1.0,221.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,the appartment,thaltej,0.91,6276.0,3.0,3.0,3,2.0,Old Property,1203.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,samruddhi bungalow,thaltej,4.1,20247.0,4.0,4.0,1,2.0,Moderately Old,2025.0,0.0,0.0,1.0,1.0,0.0,1.0,83.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,suprabhat apartment,thaltej,0.47,5222.0,2.0,2.0,2,2.0,Old Property,900.0,0.0,0.0,0.0,0.0,1.0,2.0,25.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,armaan bungalow,thaltej,3.4,11806.0,4.0,3.0,2,2.0,Moderately Old,3388.0,1.0,0.0,1.0,1.0,0.0,1.0,165.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,kalhaar bungalows,thaltej,7.0,12963.0,5.0,5.0,0,1.0,New Property,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,popular someshwara park,thaltej,2.15,13272.0,4.0,4.0,2,1.0,Old Property,1620.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,armaan bungalow,thaltej,3.4,17250.0,4.0,4.0,1,3.0,Old Property,1971.0,0.0,0.0,1.0,0.0,0.0,2.0,112.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,shilpgram1,thaltej,9.0,19120.0,4.0,3.0,3,1.0,Old Property,4707.0,0.0,0.0,0.0,1.0,0.0,2.0,31.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,avirat gulab tower,thaltej,3.25,16049.0,4.0,4.0,2,3.0,Old Property,2025.0,1.0,0.0,0.0,1.0,1.0,0.0,54.0,"23.0504° N, 72.4991° E",23.0504,72.4991
house,sangini bungalow,thaltej,3.5,16908.0,3.0,3.0,1,1.0,Moderately Old,2070.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,"23.0504° N, 72.4991° E",23.0504,72.4991
flat,sankalp grace 3,thaltej,2.02,12415.0,4.0,4.0,1,5.0,Relatively New,1627.0,1.0,0.0,0.0,1.0,0.0,0.0,112.0,"23.0504° N, 72.4991° E",23.0504,72.4991
